quiz_title,description,difficulty,is_published,question_text,question_explanation,choice_text,is_correct,choice_explanation
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation des diagnostics électriques","3 ans",true,"C'est correct, le diagnostic électrique est valable 3 ans"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation des diagnostics électriques","5 ans",false,"C'est incorrect, c'est 3 ans"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation des diagnostics électriques","Illimité",false,"C'est incorrect, il y a une limite de 3 ans"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic électrique ?","Question sur la réglementation des diagnostics électriques","1 an",false,"C'est incorrect, c'est 3 ans"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quand est obligatoire le diagnostic amiante ?","Question sur l'obligation du diagnostic amiante","Pour tous les biens construits avant 1997",true,"C'est correct, obligatoire pour les biens d'avant 1997"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quand est obligatoire le diagnostic amiante ?","Question sur l'obligation du diagnostic amiante","Pour tous les biens",false,"C'est incorrect, seulement pour les biens d'avant 1997"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quand est obligatoire le diagnostic amiante ?","Question sur l'obligation du diagnostic amiante","Pour les biens de plus de 20 ans",false,"C'est incorrect, c'est basé sur l'année 1997, pas l'âge"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quand est obligatoire le diagnostic amiante ?","Question sur l'obligation du diagnostic amiante","Seulement pour les ventes",false,"C'est incorrect, obligatoire pour vente ET location"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation des termites","6 mois",true,"C'est correct, le diagnostic termites est valable 6 mois"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation des termites","1 an",false,"C'est incorrect, c'est 6 mois"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation des termites","3 ans",false,"C'est incorrect, c'est 6 mois"
"Quiz Diagnostic Immobilier","Quiz sur les diagnostics immobiliers obligatoires",debutant,true,"Quel est le délai de validité du diagnostic termites ?","Question sur la réglementation des termites","Illimité",false,"C'est incorrect, il y a une limite de 6 mois"
